,CD_GEOCODM,NM_AGSN,CodAGSN,Estimated_Population,DPO_EmAGSN,Pop_EmAGSN,AbsoluteDifference,ProportionalDifference
49,3550308,PARQUE NOVO SANTO AMARO,35503080659.0,1532.72900390625,564,1892,-359.27099609375,-0.18988953281910675
50,3550308,JARDIM NAKAMURA II,35503080654.0,2319.521484375,699,2394,-74.478515625,-0.031110491071428572
51,3550308,BOTUCATU,35503080408.0,2979.0,828,2979,0.0,0.0
52,3550308,JARDIM PARANAPANEMA,35503080746.0,6289.0,1809,6283,6.0,0.0009549578226961642
53,3550308,TAMOIO,35503080531.0,360.0,94,360,0.0,0.0
54,3550308,COPACABANA,35503080241.0,1325.0,387,1325,0.0,0.0
55,3550308,JARDIM SÃO BENTO II,35503080533.0,3516.0,1037,3516,0.0,0.0
56,3550308,JARDIM KAGOHARA,35503080171.0,1304.7867431640625,585,2091,-786.2132568359375,-0.3759986881090088
57,3550308,ALTO DO RIVIERA,35503080647.0,1403.2320556640625,227,863,540.2320556640625,0.6259931120093424
58,3550308,JARDIM ARACATI,35503080653.0,1192.1787109375,314,1132,60.1787109375,0.05316140542181979
59,3550308,SANTA LUCIA,35503080268.0,478.0,145,478,0.0,0.0
60,3550308,JARDIM SANTA LUCIA,35503080226.0,623.0,189,623,0.0,0.0
61,3550308,JARDIM TUPI,35503080255.0,690.0,177,690,0.0,0.0
62,3550308,MINUETOS,35503081361.0,1618.0,280,913,705.0,0.7721796276013143
63,3550308,PARQUE CRISTINA,35503080474.0,2082.708740234375,593,2010,72.708740234375,0.036173502604166664
64,3550308,SONIA REGINEZ,35503080388.0,1871.7021484375,667,2342,-470.2978515625,-0.2008103550651153
65,3550308,ORFEÕES,35503080191.0,1051.6573486328125,366,1245,-193.3426513671875,-0.15529530230296185
66,3550308,HERCULANO,35503080363.0,532.8886108398438,234,795,-262.11138916015625,-0.3296998605788129
67,3550308,SANTA ZÉLIA,35503080280.0,904.7717895507812,201,660,244.77178955078125,0.370866347804214
68,3550308,LIMA JÚNIOR,35503080410.0,869.0,236,869,0.0,0.0
69,3550308,AMÉLIA (CAPELA DO SOCORRO),35503080438.0,2574.05322265625,621,2229,345.05322265625,0.15480180469100494
70,3550308,JARDIM IMBÉ I,35503080359.0,337.0000305175781,91,337,3.0517578125e-05,9.055661164688428e-08
71,3505708,OTACILIO,35057080029.0,669.0451049804688,163,663,6.04510498046875,0.009117805400405354
72,3505708,NOVA AURORA,35057080005.0,405.80145263671875,166,661,-255.19854736328125,-0.3860794967674452
73,3505708,RUA BROOKLIN,35057080032.0,12.400856971740723,53,189,-176.59914302825928,-0.93438700014952
74,3505708,EMPREENDIMENTOS ELIAS,35057080033.0,311.0,84,311,0.0,0.0
75,3505708,DER,35057080034.0,,59,234,,
76,3505708,EMPREENDIMENTOS TIRADENTES,35057080035.0,675.8862915039062,144,515,160.88629150390625,0.31240056602700245
77,3509007,AMABILE DELLATORRE,35090070002.0,699.2155151367188,181,677,22.21551513671875,0.03281464569677806
78,3509007,JOSÉ FAILACE,35090070003.0,171.25177001953125,42,165,6.25177001953125,0.03788951526988636
79,3509007,RUA JOSÉ FAILLACE,35090070004.0,,47,189,,
80,3509007,ANITA GARIBALDI,35090070005.0,,153,563,,
81,3509007,RICARDO ZERBINATTI,35090070006.0,479.0,137,479,0.0,0.0
82,3509007,VICENTE LIZA,35090070007.0,413.0,110,413,0.0,0.0
83,3509205,ACAMPAMENTO FLORIM,35092050006.0,1323.0,363,1323,0.0,0.0
