"","CD_AGSN","DPO_EmAGSN","PopEmDPO_EmAGSN"
"6040","29274080370","873","2801"
"6041","29274080371","1109","3597"
"6042","29274080372","1382","4476"
"6043","29274080373","223","667"
"6044","29274080374","423","1442"
"6045","29274080375","369","1204"
"6046","29274080376","1981","6488"
"6047","29274080377","1915","6085"
"6048","29274080378","246","812"
"6049","29274080379","214","787"
"6050","29292060001","74","295"
"6051","29292060002","1430","4677"
"6052","29307090007","461","1540"
"6053","29332080001","340","1119"
"6054","29332080003","360","1240"
"6055","29332080004","220","790"
"6056","29332080005","520","1695"
"6057","29332080006","279","928"
"6058","29332080007","390","1381"
"6059","29332080008","128","401"
"6060","32012090001","137","486"
"6061","32012090002","162","617"
"6062","32012090004","57","214"
"6063","32012090006","121","376"
"6064","32012090007","139","505"
"6065","32012090008","444","1628"
"6066","32012090009","1117","3949"
"6067","32012090010","279","914"
"6068","32012090012","173","706"
"6069","32012090013","756","2517"
"6070","32012090014","317","1059"
"6071","32012090015","1436","4931"
"6072","32012090016","642","2149"
"6073","32012090017","345","1112"
"6074","32012090018","229","785"
"6075","32012090019","309","1032"
"6076","32012090020","622","2004"
"6077","32012090021","174","546"
"6078","32013080001","495","1535"
"6079","32013080002","336","1082"
"6080","32013080003","43","143"
"6081","32013080004","1922","6737"
"6082","32013080005","964","3018"
"6083","32013080006","146","505"
"6084","32013080007","179","599"
"6085","32013080008","1362","4798"
"6086","32013080011","581","1900"
"6087","32013080012","100","353"
"6088","32013080013","1333","4710"
"6089","32013080014","592","2136"
"6090","32015060001","99","350"
"6091","32015060002","136","468"
"6092","32015060003","65","228"
"6093","32015060004","389","1308"
"6094","32015060005","535","1625"
"6095","32024050001","310","1081"
"6096","32024050002","134","511"
"6097","32024050003","524","1794"
"6098","32024050004","374","1414"
"6099","32024050005","243","908"
"6100","32024050006","613","2143"
"6101","32024050007","1329","4572"
"6102","32024050008","619","2200"
"6103","32024050009","458","1500"
"6104","32032050001","183","614"
"6105","32032050002","225","821"
"6106","32032050003","76","295"
"6107","32032050004","181","683"
"6108","32032050005","144","560"
"6109","32032050006","376","1285"
"6110","32032050007","75","239"
"6111","32032050008","693","2389"
"6112","32032050009","165","605"
"6113","32032050010","230","780"
"6114","32032050011","55","202"
"6115","32032050012","26","108"
"6116","32032050013","719","2763"
"6117","32032050014","57","190"
"6118","32032050015","183","664"
"6119","32032050016","472","1730"
"6120","32032050017","211","739"
"6121","32032050018","151","579"
"6122","32032050019","815","3216"
"6123","32049060001","92","311"
"6124","32049060002","358","1272"
"6125","32049060003","621","2063"
"6126","32049060004","277","1003"
"6127","32049060005","224","781"
"6128","32049060006","92","307"
"6129","32049060007","133","462"
"6130","32049060008","96","344"
"6131","32049060009","242","859"
"6132","32049060010","8","23"
"6133","32049060011","334","1188"
"6134","32049060012","260","898"
"6135","32049060013","351","1412"
"6136","32049060014","183","696"
"6137","32049060015","232","760"
"6138","32049060016","348","1201"
"6139","32049060017","189","644"
"6140","32049060018","335","1164"
"6141","32049060019","170","613"
"6142","32049060020","260","993"
"6143","32049060021","41","153"
"6144","32050020001","172","638"
"6145","32050020003","173","575"
"6146","32050020004","531","1785"
"6147","32050020005","1284","4374"
"6148","32050020006","140","515"
"6149","32050020007","117","410"
"6150","32050020008","168","598"
"6151","32050020009","164","619"
"6152","32050020010","202","747"
"6153","32050020011","79","273"
"6154","32050020012","15","58"
"6155","32050020013","602","2059"
"6156","32050020014","157","503"
"6157","32050020015","3010","10430"
"6158","32050020017","178","598"
"6159","32050020018","452","1540"
"6160","32050020019","1107","3845"
"6161","32050020021","198","650"
"6162","32050020022","1596","5240"
"6163","32050020023","184","614"
"6164","32051010001","447","1442"
"6165","32051010003","163","565"
"6166","32051010005","192","673"
"6167","32051010006","1005","3356"
"6168","32051010007","517","1831"
"6169","32051010008","147","496"
"6170","32051010009","531","2173"
"6171","32052000001","209","708"
"6172","32052000003","72","259"
"6173","32052000004","632","2085"
"6174","32052000007","683","2239"
"6175","32052000008","647","2196"
"6176","32052000009","458","1458"
"6177","32052000010","653","2367"
"6178","32052000011","1397","4940"
"6179","32052000012","183","698"
"6180","32052000013","675","2236"
"6181","32052000014","557","2084"
"6182","32052000015","567","1999"
"6183","32052000016","1219","3982"
"6184","32052000017","90","307"
"6185","32052000018","136","486"
"6186","32052000019","205","742"
"6187","32052000020","795","2734"
"6188","32052000021","180","603"
"6189","32052000022","331","1122"
"6190","32052000023","3399","12081"
"6191","32052000024","256","984"
"6192","32052000025","1814","6146"
"6193","32052000026","193","661"
"6194","32052000027","335","1081"
"6195","32052000028","260","805"
"6196","32052000029","189","585"
"6197","32052000030","436","1347"
"6198","32052000031","798","2563"
"6199","32052000032","578","1981"
"6200","32053090001","378","1411"
"6201","32053090002","87","315"
"6202","32053090003","209","693"
"6203","32053090005","300","1093"
"6204","32053090006","369","1355"
"6205","32053090007","85","323"
"6206","32053090008","1374","5003"
"6207","32053090009","173","640"
"6208","32053090010","42","148"
"6209","32053090011","421","1479"
"6210","32053090012","83","286"
"6211","32053090013","699","2577"
"6212","32053090014","189","678"
"6213","32053090015","923","3380"
"6214","32053090016","157","540"
"6215","32053090017","249","897"
"6216","32053090018","138","482"
"6217","32053090019","185","677"
"6218","32053090020","25","87"
"6219","32053090021","318","1049"
"6220","32053090022","235","739"
"6221","32053090023","246","873"
"6222","32053090024","507","1759"
"6223","52011080001","352","1219"
"6224","52011080014","161","593"
"6225","52087070001","252","851"
"6226","52087070002","84","298"
"6227","52087070014","170","515"
"6228","52087070018","224","733"
"6229","52087070024","67","249"
"6230","52087070027","160","508"
"6231","52087070032","109","341"
"6232","52152310005","133","504"
"6233","52152310006","292","1103"
"6234","52218580002","427","1909"
"6235","21075060003","259","907"
"6236","21075060005","373","1384"
"6237","21075060006","154","583"
"6238","21075060007","73","260"
"6239","21075060008","503","1847"
"6240","21075060009","754","2914"
"6241","21075060010","1352","4934"
"6242","21094520001","182","678"
